consequence	adsp_ranking	adsp_impact	ensembl_ranking	ensembl_impact	genomicsdb_consequence
transcript_ablation	1	HIGH	1	HIGH	
splice_acceptor_variant,splice_donor_variant,3_prime_UTR_variant,intron_variant	2	HIGH	2	HIGH	
splice_acceptor_variant,stop_gained	3	HIGH	2	HIGH	
splice_acceptor_variant,splice_donor_variant,frameshift_variant,intron_variant	4	HIGH	2	HIGH	
splice_acceptor_variant,splice_donor_variant,stop_lost,inframe_deletion,intron_variant	5	HIGH	2	HIGH	
splice_acceptor_variant,splice_donor_variant,inframe_deletion,intron_variant	6	HIGH	2	HIGH	
splice_acceptor_variant,splice_donor_variant,coding_sequence_variant,intron_variant	7	HIGH	2	HIGH	
splice_acceptor_variant,splice_donor_variant,intron_variant	8	HIGH	2	HIGH	
splice_acceptor_variant,inframe_insertion	8.5	HIGH			T
splice_acceptor_variant,frameshift_variant	9	HIGH	2	HIGH	
splice_acceptor_variant,missense_variant	10	HIGH	2	HIGH	
splice_acceptor_variant,synonymous_variant	11	HIGH	2	HIGH	
splice_acceptor_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant	12	HIGH	2	HIGH	
splice_acceptor_variant,coding_sequence_variant,5_prime_UTR_variant,NMD_transcript_variant	12.5	HIGH			T
splice_acceptor_variant,coding_sequence_variant,5_prime_UTR_variant	13	HIGH	2	HIGH	
splice_acceptor_variant,coding_sequence_variant,3_prime_UTR_variant,NMD_transcript_variant	13.5	HIGH			T
splice_acceptor_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant	14	HIGH	2	HIGH	
splice_acceptor_variant,coding_sequence_variant,3_prime_UTR_variant	15	HIGH	2	HIGH	
splice_acceptor_variant,coding_sequence_variant,intron_variant	16	HIGH	2	HIGH	
splice_acceptor_variant,coding_sequence_variant	17	HIGH	2	HIGH	
splice_acceptor_variant,5_prime_UTR_variant,intron_variant	18	HIGH	2	HIGH	
splice_acceptor_variant,5_prime_UTR_variant	19	HIGH	2	HIGH	
splice_acceptor_variant,3_prime_UTR_variant,intron_variant	20	HIGH	2	HIGH	
splice_acceptor_variant,3_prime_UTR_variant	21	HIGH	2	HIGH	
splice_acceptor_variant,intron_variant	22	HIGH	2	HIGH	
splice_acceptor_variant	23	HIGH	2	HIGH	
splice_donor_variant,frameshift_variant	24	HIGH	3	HIGH	
splice_donor_variant,inframe_deletion	25	HIGH	3	HIGH	
splice_donor_variant,stop_gained	26	HIGH	3	HIGH	
splice_donor_variant,coding_sequence_variant,5_prime_UTR_variant,NMD_transcript_variant	26.5	HIGH			T
splice_donor_variant,coding_sequence_variant,5_prime_UTR_variant,intron_variant	27	HIGH	3	HIGH	
splice_donor_variant,coding_sequence_variant,5_prime_UTR_variant	28	HIGH	3	HIGH	
splice_donor_variant,coding_sequence_variant,3_prime_UTR_variant,intron_variant	29	HIGH	3	HIGH	
splice_donor_variant,coding_sequence_variant,3_prime_UTR_variant	30	HIGH	3	HIGH	
splice_donor_variant,coding_sequence_variant,intron_variant	31	HIGH	3	HIGH	
splice_donor_variant,missense_variant	32	HIGH	3	HIGH	
splice_donor_variant,synonymous_variant	33	HIGH	3	HIGH	
splice_donor_variant,coding_sequence_variant	34	HIGH	3	HIGH	
splice_donor_variant,5_prime_UTR_variant,intron_variant	35	HIGH	3	HIGH	
splice_donor_variant,5_prime_UTR_variant	36	HIGH	3	HIGH	
splice_donor_variant,3_prime_UTR_variant,intron_variant	37	HIGH	3	HIGH	
splice_donor_variant,3_prime_UTR_variant	38	HIGH	3	HIGH	
splice_donor_variant,intron_variant	39	HIGH	3	HIGH	
splice_donor_variant	40	HIGH	3	HIGH	
stop_gained,frameshift_variant,start_lost	41	HIGH	4	HIGH	
stop_gained,frameshift_variant,start_lost,splice_region_variant,NMD_transcript_variant	41.1	HIGH			T
stop_gained,frameshift_variant,start_lost,splice_region_variant	41.5	HIGH			T
stop_gained,frameshift_variant,splice_region_variant	42	HIGH	4	HIGH	
stop_gained,frameshift_variant,splice_region_variant,intron_variant	42.5	HIGH			T
stop_gained,frameshift_variant	43	HIGH	4	HIGH	
stop_gained,start_lost	44	HIGH	4	HIGH	
stop_gained,start_lost,splice_region_variant	44.5	HIGH			T
stop_gained,inframe_insertion,splice_region_variant	45	HIGH	4	HIGH	
stop_gained,inframe_insertion,incomplete_terminal_codon_variant,coding_sequence_variant	46	HIGH	4	HIGH	
stop_gained,inframe_insertion,incomplete_terminal_codon_variant	46.5	HIGH			T
stop_gained,inframe_insertion,coding_sequence_variant	47	HIGH	4	HIGH	
stop_gained,inframe_insertion	48	HIGH	4	HIGH	
stop_gained,inframe_deletion,splice_region_variant	49	HIGH	4	HIGH	
stop_gained,inframe_deletion	50	HIGH	4	HIGH	
stop_gained,protein_altering_variant,splice_region_variant	51	HIGH	4	HIGH	
stop_gained,protein_altering_variant,splice_region_variant,NMD_transcript_variant	51.5	HIGH			T
stop_gained,protein_altering_variant,incomplete_terminal_codon_variant	52	HIGH	4	HIGH	
stop_gained,protein_altering_variant	53	HIGH	4	HIGH	
stop_gained,splice_region_variant	54	HIGH	4	HIGH	
stop_gained	55	HIGH	4	HIGH	
frameshift_variant,stop_lost,splice_region_variant	56	HIGH	5	HIGH	
frameshift_variant,stop_lost	57	HIGH	5	HIGH	
frameshift_variant,start_lost,splice_region_variant	58	HIGH	5	HIGH	
frameshift_variant,start_lost	59	HIGH	5	HIGH	
frameshift_variant,splice_region_variant,stop_retained_variant	60	HIGH	5	HIGH	
frameshift_variant,start_lost,splice_region_variant,start_retained_variant	61	HIGH	5	HIGH	
frameshift_variant,splice_region_variant,intron_variant	62	HIGH	5	HIGH	
frameshift_variant,splice_region_variant	63	HIGH	5	HIGH	
frameshift_variant,stop_retained_variant	64	HIGH	5	HIGH	
frameshift_variant,start_lost,start_retained_variant	65	HIGH	5	HIGH	
frameshift_variant	66	HIGH	5	HIGH	
stop_lost,start_lost	67	HIGH	6	HIGH	
stop_lost,inframe_deletion,splice_region_variant,NMD_transcript_variant	67.1	HIGH			T
stop_lost,inframe_deletion,splice_region_variant	67.5	HIGH			T
stop_lost,inframe_deletion	68	HIGH	6	HIGH	
stop_lost,splice_region_variant	69	HIGH	6	HIGH	
stop_lost,3_prime_UTR_variant	70	HIGH	6	HIGH	
stop_lost	71	HIGH	6	HIGH	
start_lost,inframe_deletion,splice_region_variant	72	HIGH	7	HIGH	
start_lost,inframe_deletion	73	HIGH	7	HIGH	
stop_lost,splice_region_variant,3_prime_UTR_variant	74	HIGH	7	HIGH	
start_lost,splice_region_variant,5_prime_UTR_variant	75	HIGH	7	HIGH	
start_lost,splice_region_variant	76	HIGH	7	HIGH	
start_lost,5_prime_UTR_variant	77	HIGH	7	HIGH	
start_lost	78	HIGH	7	HIGH	
inframe_insertion,splice_region_variant,incomplete_terminal_codon_variant,coding_sequence_variant	79	MODERATE	8	MODERATE	
inframe_insertion,splice_region_variant,intron_variant	80	MODERATE	8	MODERATE	
inframe_insertion,splice_region_variant	81	MODERATE	8	MODERATE	
inframe_insertion,splice_region_variant,stop_retained_variant	81.5	MODERATE			T
inframe_insertion,incomplete_terminal_codon_variant	82	MODERATE	8	MODERATE	
inframe_insertion,stop_retained_variant,NMD_transcript_variant	82.5	MODERATE			T
inframe_insertion,stop_retained_variant	83	MODERATE	8	MODERATE	
inframe_insertion	84	MODERATE	8	MODERATE	
inframe_insertion,incomplete_terminal_codon_variant,coding_sequence_variant	85	MODERATE	8	MODERATE	
inframe_insertion,coding_sequence_variant	86	MODERATE	8	MODERATE	
inframe_deletion,splice_region_variant	87	MODERATE	9	MODERATE	
inframe_deletion,incomplete_terminal_codon_variant	88	MODERATE	9	MODERATE	
inframe_deletion,stop_retained_variant	88.5	MODERATE			T
inframe_deletion	89	MODERATE	9	MODERATE	
missense_variant,splice_region_variant	90	MODERATE	10	MODERATE	
missense_variant	91	MODERATE	10	MODERATE	
protein_altering_variant,splice_region_variant,intron_variant	91.5	MODERATE			T
protein_altering_variant,splice_region_variant	92	MODERATE	11	MODERATE	
protein_altering_variant,incomplete_terminal_codon_variant	93	MODERATE	11	MODERATE	
protein_altering_variant	94	MODERATE	11	MODERATE	
splice_region_variant,incomplete_terminal_codon_variant,coding_sequence_variant	95	LOW	12	LOW	
splice_region_variant,stop_retained_variant	96	LOW	12	LOW	
splice_region_variant,synonymous_variant	97	LOW	12	LOW	
splice_region_variant,coding_sequence_variant	98	LOW	12	LOW	
splice_region_variant,coding_sequence_variant,5_prime_UTR_variant,NMD_transcript_variant	98.5	LOW			T
splice_region_variant,coding_sequence_variant,5_prime_UTR_variant	99	LOW	12	LOW	
splice_region_variant,coding_sequence_variant,3_prime_UTR_variant	100	LOW	12	LOW	
splice_region_variant,5_prime_UTR_variant	101	LOW	12	LOW	
splice_region_variant,3_prime_UTR_variant	102	LOW	12	LOW	
splice_region_variant,upstream_gene_variant	102.5	LOW			T
splice_region_variant,intron_variant	103	LOW	12	LOW	
incomplete_terminal_codon_variant,coding_sequence_variant,3_prime_UTR_variant	104	LOW	13	LOW	
incomplete_terminal_codon_variant,coding_sequence_variant	105	LOW	13	LOW	
incomplete_terminal_codon_variant,stop_retained_variant	105.5	LOW			T
incomplete_terminal_codon_variant	106	LOW	13	LOW	
missense_variant,stop_retained_variant	107	LOW	13	LOW	
start_retained_variant,5_prime_UTR_variant	108	LOW	13	LOW	
start_retained_variant	109	LOW	13	LOW	
stop_retained_variant,3_prime_UTR_variant	110	LOW	13	LOW	
stop_retained_variant	111	LOW	14	LOW	
synonymous_variant	112	LOW	15	LOW	
coding_sequence_variant,5_prime_UTR_variant	113	MODIFIER	16	MODIFIER	
coding_sequence_variant,5_prime_UTR_variant,3_prime_UTR_variant	113.5	MODIFIER			T
coding_sequence_variant,3_prime_UTR_variant	114	MODIFIER	16	MODIFIER	
coding_sequence_variant	115	MODIFIER	16	MODIFIER	
mature_miRNA_variant	116	MODIFIER	17	MODIFIER	
5_prime_UTR_variant	117	MODIFIER	18	MODIFIER	
3_prime_UTR_variant	118	MODIFIER	19	MODIFIER	
intron_variant	119	MODIFIER	20	MODIFIER	
splice_acceptor_variant,splice_donor_variant,3_prime_UTR_variant,intron_variant,NMD_transcript_variant	120	MODIFIER	2	HIGH	
